卫视频道,#genre#
广东卫视,http://183.236.43.98:4013/udp/239.77.0.166:5146
广东大湾区卫视,http://183.236.43.98:4013/udp/239.77.0.215:5146
深圳卫视,http://183.236.43.98:4013/udp/239.77.1.3:5146
深圳卫视,http://183.236.43.98:4013/udp/239.77.0.130:5146
湖南卫视,http://183.236.43.98:4013/udp/239.77.1.5:5146
浙江卫视,http://183.236.43.98:4013/udp/239.77.1.33:5146
江苏卫视,http://183.236.43.98:4013/udp/239.77.1.18:5146
东方卫视,http://183.236.43.98:4013/udp/239.77.1.218:5146
安徽卫视,http://183.236.43.98:4013/udp/239.77.1.92:5146
北京卫视,http://183.236.43.98:4013/udp/239.77.1.4:5146
北京卫视,http://183.236.43.98:4013/udp/239.77.1.151:5146
天津卫视,http://183.236.43.98:4013/udp/239.77.1.141:5146
天津卫视,http://183.236.43.98:4013/udp/239.77.1.182:5146
天津卫视,http://183.236.43.98:4013/udp/239.77.0.131:5146
山东卫视,http://183.236.43.98:4013/udp/239.77.1.142:5146
江西卫视,http://183.236.43.98:4013/udp/239.77.1.219:5146
湖北卫视,http://183.236.43.98:4013/udp/239.77.0.128:5146
辽宁卫视,http://183.236.43.98:4013/udp/239.77.1.103:5146
黑龙江卫视,http://183.236.43.98:4013/udp/239.77.0.124:5146
贵州卫视,http://183.236.43.98:4013/udp/239.77.1.221:5146
四川卫视,http://183.236.43.98:4013/udp/239.77.1.215:5146
河南卫视,http://183.236.43.98:4013/udp/239.77.1.229:5146
云南卫视,http://183.236.43.98:4013/udp/239.253.43.37:5146
重庆卫视,http://183.236.43.98:4013/udp/239.77.1.162:5146
河北卫视,http://183.236.43.98:4013/udp/239.77.1.214:5146
东南卫视,http://183.236.43.98:4013/udp/239.77.1.104:5146
甘肃卫视,http://183.236.43.98:4013/udp/239.77.0.189:5146
广西卫视,http://183.236.43.98:4013/udp/239.253.43.36:5146
吉林卫视,http://183.236.43.98:4013/udp/239.77.1.111:5146
青海卫视,http://183.236.43.98:4013/udp/239.253.43.125:5146
三沙卫视,http://183.236.43.98:4013/udp/239.253.43.113:5146
河南卫视,http://1.192.246.152:8188/rtp/239.16.20.21:10210
浙江卫视,http://1.192.246.152:8188/rtp/239.16.20.71:10710
湖南卫视,http://1.192.246.152:8188/rtp/239.16.20.72:10720
东方卫视,http://1.192.246.152:8188/rtp/239.16.20.73:10730
江苏卫视,http://1.192.246.152:8188/rtp/239.16.20.74:10740
安徽卫视,http://1.192.246.152:8188/rtp/239.16.20.75:10750
北京卫视,http://1.192.246.152:8188/rtp/239.16.20.76:10760
深圳卫视,http://1.192.246.152:8188/rtp/239.16.20.77:10770
重庆卫视,http://1.192.246.152:8188/rtp/239.16.20.79:10790
山东卫视,http://1.192.246.152:8188/rtp/239.16.20.80:10800
贵州卫视,http://1.192.246.152:8188/rtp/239.16.20.81:10810
东南卫视,http://1.192.246.152:8188/rtp/239.16.20.82:10820
陕西卫视,http://1.192.246.152:8188/rtp/239.16.20.83:10830
广西卫视,http://1.192.246.152:8188/rtp/239.16.20.84:10840
云南卫视,http://1.192.246.152:8188/rtp/239.16.20.85:10850
四川卫视,http://1.192.246.152:8188/rtp/239.16.20.86:10860
湖北卫视,http://1.192.246.152:8188/rtp/239.16.20.87:10870
河北卫视,http://1.192.246.152:8188/rtp/239.16.20.88:10880
江西卫视,http://1.192.246.152:8188/rtp/239.16.20.89:10890
吉林卫视,http://1.192.246.152:8188/rtp/239.16.20.94:10940
辽宁卫视,http://1.192.246.152:8188/rtp/239.16.20.95:10950
天津卫视,http://1.192.246.152:8188/rtp/239.16.20.96:10960
海南卫视,http://1.192.246.152:8188/rtp/239.16.20.97:10970
广东卫视,http://1.192.246.152:8188/rtp/239.16.20.98:10980
黑龙江卫视,http://1.192.246.152:8188/rtp/239.16.20.99:10990
青海卫视,http://1.192.246.152:8188/rtp/239.16.20.101:11010
甘肃卫视,http://1.192.246.152:8188/rtp/239.16.20.102:11020
安徽卫视,http://124.112.189.237:4022/rtp/238.1.79.27:4328
北京卫视,http://124.112.189.237:4022/rtp/238.1.78.162:7168
天津卫视,http://124.112.189.237:4022/rtp/238.1.78.20:6088
湖北卫视,http://124.112.189.237:4022/rtp/238.1.78.168:7216
湖南卫视,http://124.112.189.237:4022/rtp/238.1.78.160:7152
东方卫视,http://124.112.189.237:4022/rtp/238.1.78.163:7176
安徽卫视,http://124.112.189.237:4022/rtp/238.1.78.150:7072
江苏卫视,http://124.112.189.237:4022/rtp/238.1.78.165:7192
浙江卫视,http://124.112.189.237:4022/rtp/238.1.78.164:7184
河北卫视,http://124.112.189.237:4022/rtp/238.1.78.245:7832
河南卫视,http://124.112.189.237:4022/rtp/238.1.79.65:4632
